feature,importance
nanosleep,0.08862039828557686
getpid,0.05933501889644747
network_ratio,0.05886848072562358
mmap,0.049213340548340555
openat,0.0487068216175359
read,0.041054119425548
fork,0.03822783103140247
memory_ratio,0.03744534674981104
rt_sigprocmask,0.036444739343548874
setsid,0.034747504523695
pread64,0.03031074326026707
set_robust_list,0.02812631175702604
connect,0.02768174316864793
process_ratio,0.026303571428571433
socket,0.02568818113103828
file_ratio,0.024070622323003277
fstat,0.02222447204471014
statfs,0.02047603552532124
getrandom,0.019411390434961866
prlimit64,0.018353384038800706
newfstatat,0.014904330149568245
lseek,0.014094185047756475
gettid,0.01365352103804485
brk,0.013260789212991595
mprotect,0.013063867701962942
exit,0.01244824892920131
open,0.012101774691358026
write,0.011447811447811448
exit_group,0.010794850431755196
bind,0.00952713529856387
munmap,0.009520165945165946
arch_prctl,0.008745611214182644
access,0.008632389770723104
poll,0.007805202821869489
close,0.007659656084656086
prctl,0.007121957671957671
wait4,0.005731067019400353
time,0.005547184429327287
statx,0.005322409468838041
set_tid_address,0.0050269274376417246
readlink,0.004997840765936004
fcntl,0.004570735129068462
sigaltstack,0.004391642731166541
execve,0.004289191232048376
setsockopt,0.003282638888888889
copy_file_range,0.00327411186696901
getsockname,0.003266137566137566
rt_sigaction,0.003071103896103896
syscall_diversity,0.0027734315948601666
ioctl,0.002759567901234568
rt_sigreturn,0.002615474902082045
clone,0.002474250440917108
total_syscalls,0.002217308802308802
futex,0.002104212762546096
sendto,0.0017508928571428571
getegid,0.0016746753246753249
dup2,0.0016287490551776264
listen,0.0014333333333333338
getdents64,0.0013601010101010104
unlink,0.0013333333333333335
tgkill,0.0011037037037037037
vfork,0.0010010049474335188
umask,0.0009090136054421769
epoll_pwait,0.0006996787603930462
getcwd,0.0006727272727272725
getgid,0.0006681783824640968
clock_nanosleep,0.0006666666666666669
getuid,0.000640074211502783
stat,0.0006305114638447973
geteuid,0.0005593650793650793
getrlimit,0.0005537414965986394
fsync,0.000494949494949495
epoll_create1,0.0004914021164021164
madvise,0.0004092592592592592
getppid,0.0004071428571428571
close_range,0.0003830687830687831
uname,0.0003805555555555556
times,0.0003574263038548753
getsockopt,0.0003574263038548753
fadvise64,0.00030952380952380956
chdir,0.00021666666666666674
setuid,0.00019259259259259257
unlinkat,0.00019259259259259257
epoll_ctl,0.0001805555555555556
accept,0.00018055555555555555
select,0.00017687074829931979
pipe2,0.00017687074829931973
fchdir,0.0
fchmod,0.0
chmod,0.0
faccessat2,0.0
flock,0.0
ftruncate,0.0
readlinkat,0.0
recvfrom,0.0
mkdir,0.0
kill,0.0
getgroups,0.0
pipe,0.0
splice,0.0
